                               Güterart |      Freq.     Percent        Cum.
                         BRIEFE / PAKTE |          1        0.00       77.42
                           BRIEFE /POST |          1        0.00       77.42
                BRIEFE IN BEHäLTERWAGEN |          2        0.00       77.42
                          BRIEFE PAKETE |          8        0.01       77.42
                 BRIEFE PAKETE PäCKCHEN |          1        0.00       77.43
                       BRIEFE U. PAKETE |         13        0.01       77.44
                     BRIEFE U. PäCKCHEN |          1        0.00       77.44
                      BRIEFE UND PAKETE |         50        0.04       77.48
              BRIEFE UND PAKETSENDUNGEN |          1        0.00       77.48
                       BRIEFE UND PAKTE |          1        0.00       77.48
                   BRIEFE UND POSTKARTE |          1        0.00       77.48
                  BRIEFE UND POSTPAKETE |          1        0.00       77.48
               BRIEFE UND POSTSENDUNGEN |          1        0.00       77.48
                    BRIEFE UND PäCKCHEN |          1        0.00       77.48
                     BRIEFE UND PäKCHEN |          1        0.00       77.49
        BRIEFE UND SONST. POSTSENDUNGEN |          1        0.00       77.49
                          BRIEFE+PAKETE |         11        0.01       77.50
                      BRIEFE+POSTPAKETE |          6        0.01       77.50
                   BRIEFE+POSTSENDUNGEN |          5        0.00       77.50
                BRIEFE, BüCHERSENDUNGEN |          1        0.00       77.51
                       BRIEFE, KATALOGE |          8        0.01       77.51
                         BRIEFE, PAKETE |         23        0.02       77.53
               BRIEFE, PAKETE UND AKTEN |          1        0.00       77.53
                   BRIEFE, PAKETE, GELD |          1        0.00       77.53
   BRIEFE, PAKETE, MASSENDRUCKSENDUNGEN |          1        0.00       77.53
                 BRIEFE, PAKETSENDUNGEN |          2        0.00       77.54
                       BRIEFE, PäCKCHEN |          2        0.00       77.54
                     BRIEFE, UND PAKETE |          1        0.00       77.54
          BRIEFE, ZEITSCHRIFTEN, PAKETE |          1        0.00       77.54
                          BRIEFE,PAKETE |         12        0.01       77.55
                            BRIEFE,POST |          3        0.00       77.55
                          BRIEFE-PAKETE |          1        0.00       77.55
                         BRIEFE/ PAKETE |          6        0.01       77.56
                   BRIEFE/BRIEFBEHäLTER |         11        0.01       77.57
                          BRIEFE/PAKETE |         14        0.01       77.58
                      BRIEFE/POSTPAKETE |          1        0.00       77.58
                        BRIEFE/PäCKCHEN |          1        0.00       77.58
                       BRIEFE; KATALOGE |          1        0.00       77.58
                            BRIEFKäSTEN |          1        0.00       77.58
                              BRIEFPOST |        156        0.13       77.71
               BRIEFPOST UND POSTPAKETE |          1        0.00       77.71
                 BRIEFPOST UND PäCKCHEN |          1        0.00       77.71
     BRIEFPOST, INFOPOST, WURFSENDUNGEN |          1        0.00       77.72
                      BRIEFPOST, PAKETE |         11        0.01       77.72
            BRIEFPOST, PAKETE, PäCKCHEN |          2        0.00       77.73
              BRIEFPOST, WARENSENDUNGEN |          1        0.00       77.73
                          BRIEFSCHALTER |          1        0.00       77.73
                           BRIEFSENDUNG |          2        0.00       77.73
                         BRIEFSENDUNGEN |        170        0.14       77.87
                BRIEFSENDUNGEN + PAKETE |          1        0.00       77.87
       BRIEFSENDUNGEN / FRACHTSENDUNGEN |          2        0.00       77.88
                BRIEFSENDUNGEN / PAKETE |          1        0.00       77.88
       BRIEFSENDUNGEN IN BRIEFBEHäLTERN |          1        0.00       77.88
             BRIEFSENDUNGEN UND LEERGUT |          1        0.00       77.88
              BRIEFSENDUNGEN UND PAKETE |          2        0.00       77.88
                  BRIEFSENDUNGEN+PAKETE |          1        0.00       77.88
          BRIEFSENDUNGEN, BRIEFBEHäLTER |          1        0.00       77.88
                 BRIEFSENDUNGEN, PAKETE |          2        0.00       77.88
                   BRIEFSENDUNGEN/PAKET |          3        0.00       77.89
                  BRIEFSENDUNGEN/PAKETE |          5        0.00       77.89
                             BRIEFTAUBE |          1        0.00       77.89
                          BRIESENDUNGEN |          1        0.00       77.89
                                  BRIFE |          1        0.00       77.89
                   BRIFE+PAKETSENDUNGEN |          1        0.00       77.89
                          BRIFSENDUNGEN |          1        0.00       77.89
                                BRIKETT |          1        0.00       77.89
                               BRIKETTS |          1        0.00       77.90
                                 BRILLE |          2        0.00       77.90
                   BRILLE ZUR REPARATUR |          1        0.00       77.90
                       BRILLENFASSUNGEN |          1        0.00       77.90
                          BRILLENGLäSER |          5        0.00       77.90
                   BRONZE- UND ALUWAREN |         11        0.01       77.91
                             BROSCHüREN |          4        0.00       77.92
                                   BROT |        157        0.13       78.05
                       BROT + BACKWAREN |         14        0.01       78.06
                        BROT + BRöTCHEN |          5        0.00       78.06
                          BROT + TORTEN |          1        0.00       78.06
                        BROT / BRöTCHEN |          6        0.01       78.07
                          BROT / KUCHEN |          1        0.00       78.07
                         BROT BACKWAREN |          1        0.00       78.07
                          BROT BRöTCHEN |          4        0.00       78.07
             BROT IN KISTEN UND KARTONS |         11        0.01       78.08
                     BROT UND BACKWAREN |         61        0.05       78.14
                      BROT UND BRöTCHEN |         13        0.01       78.15
              BROT UND BRöTCHEN, KUCHEN |          4        0.00       78.15
                        BROT UND KUCHEN |         16        0.01       78.16
                        BROT UND SEMMEL |          1        0.00       78.16
                         BROT+BACKWAREN |          5        0.00       78.17
                          BROT+BRöTCHEN |          1        0.00       78.17
                   BROT+BRöTCHEN+KUCHEN |          2        0.00       78.17
                       BROT,  BACKWAREN |          1        0.00       78.17
                        BROT, BACKWAREN |          5        0.00       78.18
          BROT, BACKWAREN, LEBENSMITTEL |          1        0.00       78.18
                         BROT, BRöTCHEN |         19        0.02       78.19
              BROT, BRöTCHEN UND GEBäCK |          5        0.00       78.20
                 BROT, BRöTCHEN, GEBäCK |          1        0.00       78.20
                 BROT, FLASCHEN, FäSSER |          1        0.00       78.20
                           BROT, GEBäCK |          1        0.00       78.20
                  BROT, GEBäCK, SEMMELN |          1        0.00       78.20
                          BROT, SEMMELN |          1        0.00       78.20
                           BROT, TORTEN |          1        0.00       78.20
                         BROT, WEIßWARE |          5        0.00       78.21
                         BROT,BACKWAREN |          1        0.00       78.21
                          BROT,BRöTCHEN |          1        0.00       78.21
 BROT,BRöTCHEN,BACK-UND KONDITOREIWAREN |          2        0.00       78.21
                BROT,BRöTCHEN,BACKWAREN |          3        0.00       78.21
               BROT,BRöTCHEN,KONDITOREI |          3        0.00       78.21
                        BROT- BACKWAREN |          1        0.00       78.21
                    BROT- UND BACKWAREN |          1        0.00       78.22
     BROT-, BRöTCHEN-, KUCHENSORTIMENTE |          1        0.00       78.22
                          BROT-BRöTCHEN |          1        0.00       78.22
                        BROT. BACKWAREN |          1        0.00       78.22
                          BROT/BRöTCHEN |          1        0.00       78.22
             BROT/BRöTCHEN/LEBENSMITTEL |          1        0.00       78.22
                                  BROTE |          3        0.00       78.22
                         BROTE,BRöCHTEN |          1        0.00       78.22
                              BROTKöRBE |          1        0.00       78.22
                   BROTSCHNEIDEMASCHINE |          1        0.00       78.22
                             BROTWEIZEN |          1        0.00       78.23
                                  BRROT |          1        0.00       78.23
                      BRTETTER , GERäTE |          1        0.00       78.23
                              BRUCHSAND |          1        0.00       78.23
                             BRUCHSTEIN |          1        0.00       78.23
                            BRUCHSTEINE |          3        0.00       78.23
                          BRUSTPROTHESE |          2        0.00       78.23
                               BRUTEIER |          5        0.00       78.24
                               BRöTCHEN |         25        0.02       78.26
                       BRöTCHEN + MILCH |          1        0.00       78.26
                      BRöTCHEN / KUCHEN |          2        0.00       78.26
                      BRöTCHEN UND BROT |          1        0.00       78.26
                          BRöTCHEN-BROT |          1        0.00       78.26
           BRöTCHENROHLINGE (TEIGLINGE) |          1        0.00       78.26
                                 BUCHEN |          1        0.00       78.26
                 BUCHFüHRUNGSUNTERLAGEN |          1        0.00       78.27
                              BUCHWAREN |          1        0.00       78.27
                                 BULLEN |          1        0.00       78.27
                        BUND NACHTROLLO |          1        0.00       78.27
                           BUSANKOPPLER |          1        0.00       78.27
                              BUSCHWERK |          1        0.00       78.27
                             BUSSCHEIBE |          1        0.00       78.27
                                  BUTAN |          1        0.00       78.27
                              BUTAN GAS |          1        0.00       78.27
                          BUTTER, MILCH |          1        0.00       78.27
             BUTTER, MILCH, SAHNE, KäSE |          1        0.00       78.27
                              Backwaren |          8        0.01       78.28
                         Baumaterialien |          2        0.00       78.28
                    Baumwolle/Container |          1        0.00       78.28
                  Baustelleneinrichtung |          1        0.00       78.28
                              Baustoffe |          1        0.00       78.28
                       Besen, Schaufeln |          2        0.00       78.29
                                   Bier |          1        0.00       78.29
                                 Blumen |          1        0.00       78.29
                          Blutpräperate |          1        0.00       78.29
               Brief und Paketsendungen |          1        0.00       78.29
                         Briefsendungen |          1        0.00       78.29
                                 BÜCHER |          3        0.00       78.29
                           BÜROMATERIAL |          2        0.00       78.29
                    BäCKEREI, BACKWAREN |          1        0.00       78.30
                      BäCKEREI-PRODUKTE |          1        0.00       78.30
                        BäCKEREIARTIKEL |          1        0.00       78.30
                           BäCKEREIWARE |          1        0.00       78.30
                                  BäNKE |          2        0.00       78.30
               BäNKE UND FOTOAUSRüSTUNG |          1        0.00       78.30
                  BäNKE, FOTOAUSRüSTUNG |          1        0.00       78.30
                        BäUME,STRäUCHER |          1        0.00       78.30
                                  Bänke |          1        0.00       78.30
                                 BüCHER |         72        0.06       78.36
                          BüCHER KARTON |          1        0.00       78.36
                       BüCHER UND HEFTE |          1        0.00       78.37
                    BüCHER, LEIHSCHEINE |          2        0.00       78.37
                         BüCHER, MUSTER |          6        0.01       78.37
                BüCHER, ORDNER, PAPIERE |          1        0.00       78.37
                         BüCHER, PAPIER |          1        0.00       78.37
                  BüCHER, POSTSENDUNGEN |          1        0.00       78.37
                          BüCHERSCHRANK |          1        0.00       78.38
                                BüCHSEN |          1        0.00       78.38
                            BüHNENTEILE |          1        0.00       78.38
                      BüNDEL ( KOHLEN ) |          1        0.00       78.38
                       BüNDEL (KOHLEN ) |          1        0.00       78.38
                        BüNDEL MASCHINE |          1        0.00       78.38
                         BüNDELBRICKETS |          1        0.00       78.38
           BüRO- UND VERBRAUCHSMATERIAL |          1        0.00       78.38
               BüRO-, BZW. EDV-MATERIAL |          1        0.00       78.38
                  BüRO-/ FRISEURARTIKEL |          1        0.00       78.38
                   BüRO-/FRISEURARTIKEL |          7        0.01       78.39
                            BüROARTIKEL |          4        0.00       78.39
            BüROARTIKEL, FRISEURARTIKEL |          3        0.00       78.39
                             BüROBEDARF |          9        0.01       78.40
                          BüROMASCHINEN |          3        0.00       78.40
                     BüROMAT./WERKZEUGE |          2        0.00       78.41
                           BüROMATERIAL |         34        0.03       78.44
                              BüROMöBEL |          7        0.01       78.44
                       BüROMöBEL/ UMZUG |          1        0.00       78.44
                            BüROSCHRANK |          1        0.00       78.44
                    BüROSTAHL EINKAUFEN |          1        0.00       78.44
                   BüROUNTERLAGEN, POST |          3        0.00       78.45
                                 BüSCHE |          1        0.00       78.45
                              C2 KISTEN |          4        0.00       78.45
                 CA. 180 PAKETSENDUNGEN |          2        0.00       78.45
                       CA.40KG WERKZEUG |          1        0.00       78.45
                           CAMPINGPLATZ |          2        0.00       78.45
                         CAMPNIGARTIKEL |          1        0.00       78.46
                               CARAVANS |          1        0.00       78.46
          CART UND BOX FüR ALTBATTERIEN |          1        0.00       78.46
                                CD WARE |          3        0.00       78.46
                                   CD'S |          1        0.00       78.46
                              CD-PLAYER |          1        0.00       78.46
                                 CD-ROM |          1        0.00       78.46
                        CD-ROM LAUFWERK |          1        0.00       78.46
                              CENTERLOG |          1        0.00       78.46
                           CHAMPIGNIONS |          1        0.00       78.46
              CHEM. ERZEUGNISSE, 460 KG |          1        0.00       78.47
                       CHEM. GRUNDSTOFF |          1        0.00       78.47
                                 CHEMIE |          6        0.01       78.47
                             CHEMIKALIE |          2        0.00       78.47
                            CHEMIKALIEN |          6        0.01       78.48
                    CHEMIKALIEN VERPAKT |          1        0.00       78.48
            CHEMIKALIEN, FARBE (ABFALL) |          1        0.00       78.48
             CHEMIKALIENFLASCHEN (LEER) |          1        0.00       78.48
                              CHMIKALIE |          1        0.00       78.48
                            CHRISTBäUME |          7        0.01       78.49
                             CIGARETTEN |          6        0.01       78.49
                           CISCO ROUTER |          1        0.00       78.49
                           CO2-FLASCHEN |          8        0.01       78.50
                           CO2-ZYLINDER |          6        0.01       78.50
                                   COLA |          2        0.00       78.51
                            COLA KISTEN |          1        0.00       78.51
                            COLORGERäTE |          1        0.00       78.51
                               COMPUTER |         15        0.01       78.52
                         COMPUTER PARTS |          1        0.00       78.52
                           COMPUTER(PC) |          1        0.00       78.52
                        COMPUTER, AKTEN |          1        0.00       78.52
                         COMPUTERLISTEN |          1        0.00       78.52
                     COMPUTERPERIPHERIE |         10        0.01       78.53
                         COMPUTERSACHEN |          1        0.00       78.53
                          COMPUTERTEILE |          4        0.00       78.54
               COMPUTERTEILE IN KARTONS |          1        0.00       78.54
                        COMPUTERZUBEHöR |          3        0.00       78.54
                              CONTAINER |         25        0.02       78.56
                CONTAINER (AUFSTELLUNG) |          1        0.00       78.56
                       CONTAINER (LEER) |          2        0.00       78.56
                     CONTAINER GESTELLT |          4        0.00       78.57
                      CONTAINERSTELLUNG |          2        0.00       78.57
         CU FORM- UND VERBINDUNGSSTüCKE |          1        0.00       78.57
                          CV-BODENBELAG |          1        0.00       78.57
                                      D |         10        0.01       78.58
                               DACHBAHN |          1        0.00       78.58
                             DACHBAHNEN |          4        0.00       78.58
                     DACHBAHREN BITUMEN |          1        0.00       78.58
                          DACHBAUSTEINE |          1        0.00       78.58
                           DACHBAUSTOFF |          1        0.00       78.59
                          DACHBAUSTOFFE |          5        0.00       78.59
                             DACHBLECHE |          1        0.00       78.59
                             DACHBUHNEN |          1        0.00       78.59
                     DACHDECKERMATERIAL |          1        0.00       78.59
                      DACHDECKERZUBEHöR |          1        0.00       78.59
                  DACHDICHTIGUNGSBAHNEN |          1        0.00       78.59
                    DACHDICHTUNGSBAHNEN |          1        0.00       78.59
                    DACHDICHTUNGSBAHNER |          1        0.00       78.60
                            DACHFENSTER |          2        0.00       78.60
                     DACHFENSTERZUBEHöR |          1        0.00       78.60
                              DACHFOLIE |          2        0.00       78.60
                         DACHGARTENERDE |          1        0.00       78.60
                             DACHLATTEN |          5        0.00       78.60
                    DACHLATTEN  40/60MM |          1        0.00       78.61
              DACHLATTEN / HOLZBAUTEILE |          1        0.00       78.61
           DACHLATTEN, DACHZIEGEL, ZINK |          1        0.00       78.61
                     DACHLATTEUR, FOLIE |          1        0.00       78.61
                           DACHMATERIAL |          3        0.00       78.61
                 DACHMATERIAL -WERKZEUG |          1        0.00       78.61
                  DACHMATERIAL WERKZEUG |          1        0.00       78.61
                DACHMATERIAL, MASCHINEN |          2        0.00       78.61
                        DACHMATERIALIEN |          1        0.00       78.62
                              DACHPAPPE |         11        0.01       78.62
DACHPAPPE-KLEINEMATERIAL REPERATUR ARBE |          1        0.00       78.63
                             DACHPAPPEN |          1        0.00       78.63
                            DACHPFANNEN |          2        0.00       78.63
                            DACHPLATTEN |          2        0.00       78.63
      DACHPLATTEN, ZIEGEL, KALK, STEINE |          1        0.00       78.63
                             DACHRENNEN |          1        0.00       78.63
                             DACHRIEGEL |          1        0.00       78.63
                              DACHRINNE |          2        0.00       78.63
                             DACHRINNEN |          5        0.00       78.64
       DACHRINNENFALLROHR, BLECHARTIKEL |          1        0.00       78.64
                           DACHSCHALUNG |          1        0.00       78.64
                             DACHSTEINE |          6        0.01       78.64
                   DACHSTEINE VON BRAAS |          1        0.00       78.65
                        DACHSTEINSCHUTT |          1        0.00       78.65
                             DACHZIEGEL |         23        0.02       78.67
       DACHZIEGEL, HOLZ, SCHIEFER, BLEI |          2        0.00       78.67
                    DACHZIEGEL/SCHIEFER |          1        0.00       78.67
                            DACHZIEGELN |          1        0.00       78.67
                            DACHZUBEHöR |          9        0.01       78.68
                       DACHZUBEHöRTEILE |          1        0.00       78.68
           DAIMLER CHRYSLER ERSATZTEILE |          9        0.01       78.68
                    DAMENOBERBEKLEIDUNG |          4        0.00       78.69
                          DAMPFREINIGER |          2        0.00       78.69
                         DATENNETZTEILE |          1        0.00       78.69
                          DATENSCHRäNKE |          3        0.00       78.69
                         DAUERBACKWAREN |          7        0.01       78.70
                             DAUERWURST |          1        0.00       78.70
                           DECKELFäSSER |          1        0.00       78.70
                                 DECKEN |          2        0.00       78.70
                          DECKENPROFILE |          1        0.00       78.70
                               DECKLACK |          1        0.00       78.70
                              DECKLACKE |          2        0.00       78.71
                    DECKSCHICHT ASPHALT |          1        0.00       78.71
                   DEFEKTE MöBELFRONTEN |          1        0.00       78.71
                           DEFEKTEN PKW |          1        0.00       78.71
                           DEFEKTES RAD |          1        0.00       78.71
                             DEKO BäUME |          1        0.00       78.71
                             DEKO-VASEN |          1        0.00       78.71
                            DEKOARTIKEL |          4        0.00       78.71
                      DEKOARTIKEL+FARBE |          1        0.00       78.72
                           DEKOMATERIAL |          6        0.01       78.72
                     DEKORAIONSMATERIAL |          1        0.00       78.72
                             DEKORATION |          5        0.00       78.73
                      DEKORATIONARTIKEL |          1        0.00       78.73
                    DEKORATIONSMATERIAL |          9        0.01       78.73
                           DEKOVORHäNGE |          2        0.00       78.74
              DENTAL - GERäTE UND WAREN |          1        0.00       78.74
                     DENTAL-ERSATZTEILE |          1        0.00       78.74
                     DENTAL-LABOR-TEILE |          3        0.00       78.74
                           DENTAL-WAREN |          4        0.00       78.74
                         DEPONIEABFäLLE |          2        0.00       78.74
                    DESINFEKTIONSMITTEL |          2        0.00       78.75
                DGR (ISOPROPANOL) KL. 3 |          1        0.00       78.75
                     DIALYSEHILFSSTOFFE |          1        0.00       78.75
                     DIAMANTBOHR-KRONEN |          1        0.00       78.75
                         DIBV TEXTILIEN |          1        0.00       78.75
                              DICHTRING |          1        0.00       78.75
                            DICHTSTOFFE |          3        0.00       78.75
                             DICHTUNGEN |          4        0.00       78.76
                             DICHTUNGNE |          1        0.00       78.76
                         DICHTUNGSMASSE |          1        0.00       78.76
                      DICHTUNGSMATERIAL |          1        0.00       78.76
                                 DIELEN |          1        0.00       78.76
                         DIENSTKLEIDUNG |          2        0.00       78.76
                             DIENSTPOST |          1        0.00       78.76
   DIENSTWäSCHE, RETTUNGSDIENSTMATERIAL |          7        0.01       78.77
                                 DIESEL |         24        0.02       78.79
                    DIESEL IN KANISTERN |          1        0.00       78.79
                      DIESEL KRAFTSTOFF |          1        0.00       78.79
                           DIESEL MOTOR |          1        0.00       78.79
                       DIESELKRAFTSTOFF |          2        0.00       78.79
             DIESELKRAFTSTOFF U. HEIZöL |          5        0.00       78.80
                             DIESELTANK |          1        0.00       78.80
                               DIESELöL |          1        0.00       78.80
                     DIESPERSIONSFARBEN |          1        0.00       78.80
                           DIKTIERGERäT |          1        0.00       78.80
   DIR.GERäTE TEILE FüR  VERTEILUNGSBAU |          1        0.00       78.80
      DIR.GERäTE TEILE FüR VERTEILUNBAU |          1        0.00       78.80
          DIREKTBEF. WARMWASSERBEREITER |          1        0.00       78.80
                              DISKETTEN |          2        0.00       78.80
                      DISPENSIONSFARBEN |          1        0.00       78.80
       DISPENSIONSFARBEN, MALERMATERIAL |          1        0.00       78.81
                        DISPERS. FARBEN |          1        0.00       78.81
                             DISPERSION |          1        0.00       78.81
                           DISPERSIONEN |          3        0.00       78.81
                        DISPERSIONFAHRT |          1        0.00       78.81
                     DISPERSIONS FARBEN |          1        0.00       78.81
                       DISPERSIONSFARBE |         18        0.02       78.83
                      DISPERSIONSFARBEN |          4        0.00       78.83
            DISPERSIONSFARBEN UND LACKE |          1        0.00       78.83
           DISPERSIONSFARBEN- U. KLEBER |          1        0.00       78.83
           DISPERSIONSKLEBER, FARBE ETC |          1        0.00       78.83
                          DISPIAN PAPPE |          1        0.00       78.83
                               DISPLAYS |          3        0.00       78.84
                                   DITO |          6        0.01       78.84
          DIV SIELBAU GERäTE+MACHINENEN |          2        0.00       78.84
                          DIV TEXTILIEN |          1        0.00       78.84
            DIV ZAHNTECHNISCHE PRODUKTE |          7        0.01       78.85
                            DIV ZUBEHöR |          1        0.00       78.85
                      DIV. BÜROMATERIAL |          1        0.00       78.85
                  DIV. FARBEN UND DOSEN |          1        0.00       78.85
                  DIV. FARBEN/WERKZEUGE |          1        0.00       78.85
       DIV. MATERIAL: LEDER, SCHWäMME.. |          1        0.00       78.85
                        DIV. MöBELTEILE |          1        0.00       78.85
                        DIV. STüCKGüTER |          1        0.00       78.86
                          DIV. WERKZEUG |          2        0.00       78.86
                         DIV. WERKZEUGE |          4        0.00       78.86
                      DIV. WäSCHEPAKETE |          6        0.01       78.87
                                DIVERSE |          1        0.00       78.87
          DIVERSE BAUGERÄTE U. WERKZEUG |          2        0.00       78.87
                       DIVERSE HARDWARE |          2        0.00       78.87
                         DIVERSE LAMPEN |          1        0.00       78.87
                     DIVERSE REQUISITEN |          1        0.00       78.87
                          DIVERSE RäDER |          1        0.00       78.87
                 DIVERSE SANITäRARTIKEL |          1        0.00       78.87
                      DIVERSE SCHRAUBEN |          1        0.00       78.87
                     DIVERSE STAHLTEILE |          1        0.00       78.87
                               DIVERSES |          5        0.00       78.88
               DIVERSES ELEKTROMATERIAL |          5        0.00       78.88
                         DIVERSES ESSEN |          2        0.00       78.88
                          DIchTUNGSSATZ |          1        0.00       78.89
                       DOGMA DICHTUNGEN |          1        0.00       78.89
                              DOKUMENTE |         30        0.03       78.91
      DOKUMENTE UND MEDIZINISCHE PROBEN |          1        0.00       78.91
                   DOKUMENTE UND ORDNER |          1        0.00       78.91
                       DOKUMENTE+MUSTER |          1        0.00       78.91
                DOKUMENTE, LEBENSMITTEL |          1        0.00       78.92
                      DOLOMITSOND 0-5MM |          1        0.00       78.92
                             DOPPELBETT |          1        0.00       78.92
                            DOPPELLIEGE |          1        0.00       78.92
                   DOPPELWANDIGER KAMIN |          1        0.00       78.92
                                   DOSE |          1        0.00       78.92
                                  DOSEN |          5        0.00       78.92
                              DOSENBIER |          1        0.00       78.92
                                  DRAHT |          1        0.00       78.93
                        DRAHTBIEGETEILE |          1        0.00       78.93
                              DRAHTGLAS |          1        0.00       78.93
                        DRAHTNETZMATTEN |          1        0.00       78.93
                            DRAHTPROBEN |          1        0.00       78.93
                             DRAHTRINGE |          1        0.00       78.93
DRAHTSEIL V2A, SCHRAUBEN, ABDECKSCHEIBE |          1        0.00       78.93
                             DRAHTSEILE |          1        0.00       78.93
                             DRAHTWAREN |          1        0.00       78.93
                         DRAUFSITZMäHER |          1        0.00       78.93
                        DREHSTROMZäHLER |          1        0.00       78.93
                              DREHSTUHL |          2        0.00       78.94
                              DREHTEILE |         14        0.01       78.95
                    DREHTEILE AUS STAHL |          1        0.00       78.95
                         DREHUNTERSÄTZE |          1        0.00       78.95
                     DREISCHICHTPLATTEN |          1        0.00       78.95
              DREISCHICHTPLATTEN FICHTE |          1        0.00       78.95
                       DROGERIE ARTIKEL |          1        0.00       78.95
                        DROGERIEARTIKEL |          2        0.00       78.95
           DROGERIEARTIKEL, WASCHMITTEL |          8        0.01       78.96
                             DRRUCK.... |          1        0.00       78.96
                          DRUCK ZUBEHöR |          1        0.00       78.96
                                DRUCK.. |          1        0.00       78.96
                               DRUCK... |          5        0.00       78.97
                           DRUCKARTIKEL |          1        0.00       78.97
                             DRUCKBöGEN |          1        0.00       78.97
                                DRUCKER |          7        0.01       78.97
                     DRUCKER (VERPACKT) |          1        0.00       78.97
                         DRUCKER FüR PC |          1        0.00       78.98
                   DRUCKER, HANDELSWARE |          1        0.00       78.98
                        DRUCKER, PAPIER |          1        0.00       78.98
                       DRUCKER, SCANNER |          1        0.00       78.98
                      DRUCKEREIMATERIAL |          1        0.00       78.98
                       DRUCKERERZEUGNIS |          1        0.00       78.98
                        DRUCKERPATRONEN |          1        0.00       78.98
                       DRUCKERZEUGNISSE |          8        0.01       78.99
                             DRUCKFARBE |          1        0.00       78.99
                            DRUCKFARBEN |          2        0.00       78.99
                            DRUCKFEDERN |          1        0.00       78.99
                       DRUCKGASFLASCHEN |          4        0.00       78.99
                  DRUCKGASSTAHLFLASCHEN |          2        0.00       79.00
            DRUCKLUFTANLAGENERSATZTEILE |          5        0.00       79.00
                          DRUCKMASCHINE |          1        0.00       79.00
                            DRUCKPAPIER |          1        0.00       79.00
                            DRUCKPLATTE |          2        0.00       79.00
                           DRUCKPLATTEN |          3        0.00       79.01
                    DRUCKREGLER, ZäHLER |         11        0.01       79.02
                            DRUCKSACHEN |         50        0.04       79.06
          DRUCKSACHEN-PLAKATE, SCHILDER |          1        0.00       79.06
                            DRUCKSACKEN |          1        0.00       79.06
                            DRUCKWALZEN |          7        0.01       79.06
                             DRUCKWAREN |          1        0.00       79.07
                          DRäNGE-PLATTE |          1        0.00       79.07
                              DRäNROHRE |          1        0.00       79.07
                                DRüCKER |          1        0.00       79.07
  DSD LEICHTVERPACKUNGEN UND ALTKLEIDER |          1        0.00       79.07
                              DSD SäCKE |          1        0.00       79.07
           DSD-LVP (LEICHTVERPACKUNGEN) |          1        0.00       79.07
                                    DTO |          5        0.00       79.07
    DUALE SYSTEM DEUTSCHLAND - MATERIAL |          1        0.00       79.08
               DUENGER UND BLUEMNTOEPFE |          1        0.00       79.08
                        DURCHLAUFKüHLER |          1        0.00       79.08
                        DUSCHABTRENNUNG |          1        0.00       79.08
                                 DUSCHE |          2        0.00       79.08
                           DUSCHKABINEN |          1        0.00       79.08
                             DUSCHWANNE |          2        0.00       79.08
           DVD-LVP (LEICHTVERPACKUNGEN) |          1        0.00       79.08
                              Dokumente |          4        0.00       79.09
                          DäMM-MATERIAL |          1        0.00       79.09
                            DäMMATERIAL |          3        0.00       79.09
                           DäMMELEMENTE |          1        0.00       79.09
                            DäMMPLATTEN |          2        0.00       79.09
                               DäMMSTOF |          1        0.00       79.09
                              DäMMSTOFF |          3        0.00       79.10
                    DäMMSTOFF, STYROPOR |          1        0.00       79.10
                             DäMMSTOFFE |         15        0.01       79.11
                    DäMMSTOFFE, GERüSTE |          1        0.00       79.11
                        DäMMSTOFFE, PVC |          2        0.00       79.11
                            DäMMSTOFFFE |          1        0.00       79.11
                          DäMMSTOFFWERK |          1        0.00       79.11
                              DäMMWOLLE |          2        0.00       79.12
                 DäMMWOLLE UND WERKZEUG |          1        0.00       79.12
           DäRME, AUFSCHNITT, KONSERVEN |          1        0.00       79.12
                                  DüBEL |          1        0.00       79.12
                            DüNGEMITTEL |          5        0.00       79.12
                       DüNGEMITTEL LOSE |          1        0.00       79.12
          DüNGEMITTEL, LOSE - HARNSTOFF |          1        0.00       79.12
        DüNGEMITTEL, LOSE - KALKAMMONS. |          1        0.00       79.12
                DüNGEMITTEL, LOSE - KAS |          1        0.00       79.13
        DüNGEMITTEL, LOSE - MISCHDüNGER |          1        0.00       79.13
                                 DüNGER |         18        0.02       79.14
                         DüNNBETTMöRTEL |          1        0.00       79.14
    DüSEN UND GERäTE FüR KANALREINIGUNG |          4        0.00       79.15
                             E METERIAL |          1        0.00       79.15
                              E-BAUTEIL |          2        0.00       79.15
                             E-BAUTEILE |          2        0.00       79.15
        E-ERSATZTEILE + NACHTVERSORGUNG |          1        0.00       79.15
                                E-GERäT |          1        0.00       79.15
                               E-GERäTE |          2        0.00       79.15
                                 E-HERD |          1        0.00       79.15
                             E-MATERIAL |          4        0.00       79.16
                  E-MATERIAL & WERKZEUG |          2        0.00       79.16
                   E-MATERIAL, WERKZEUG |          1        0.00       79.16
                                E-MOTOR |          3        0.00       79.16
                              E-MOTOREN |          1        0.00       79.16
                            E-ROLLSTUHL |          2        0.00       79.16
                              E-SCHROTT |          1        0.00       79.17
                         E-STRICHMöRTEL |          1        0.00       79.17
             E-Strichmörtel, Holzplatte |          1        0.00       79.17
                        E-TEILBESORGUNG |          1        0.00       79.17
                                E-TEILE |          8        0.01       79.17
                      E-TEILE, WERKZEUG |          6        0.01       79.18
                                E-Teile |          2        0.00       79.18
                            E-WERKZEUGE |          1        0.00       79.18
